217.00	143.00	452.00	134.00	457.00	430.00	223.00	442.00	
217.20	145.73	452.18	136.91	456.94	432.71	223.05	444.45	
217.67	144.98	452.69	136.46	456.96	432.53	223.02	443.94	
209.60	143.28	444.92	136.85	446.19	432.90	211.64	442.38	
198.79	143.54	434.28	137.55	434.94	434.16	200.19	442.98	
190.85	141.75	426.87	137.23	425.00	434.25	189.61	441.40	
179.41	137.95	415.95	133.27	413.80	431.02	177.72	438.24	
173.19	139.71	409.91	136.10	406.28	434.42	169.91	440.37	
168.02	142.99	404.50	141.02	398.57	438.27	161.88	442.72	
164.91	140.61	401.31	139.55	394.43	436.66	157.68	440.24	
161.89	138.14	398.19	137.40	390.79	434.43	154.04	437.66	
162.24	137.66	398.55	136.93	391.09	433.96	154.33	437.20	
163.29	138.55	399.63	137.67	392.36	434.77	155.64	438.13	
163.18	139.35	399.50	138.76	391.73	435.93	155.07	438.94	
163.22	139.60	399.64	138.85	392.08	436.00	155.35	439.20	
164.40	139.43	400.93	138.35	394.05	435.53	157.15	439.20	
163.71	136.69	400.11	136.24	392.18	433.23	155.26	436.15	
165.02	135.60	401.40	136.36	391.94	433.44	155.09	435.11	
165.59	134.39	401.99	136.41	390.88	433.46	154.03	433.91	
166.75	130.59	403.12	134.49	389.77	431.27	152.70	429.83	
168.45	129.80	404.90	134.24	390.87	431.09	153.76	429.09	
169.68	126.78	406.16	132.75	390.41	429.63	153.15	426.10	
171.82	121.82	408.43	129.78	390.47	426.37	152.84	421.06	
172.57	119.72	409.03	130.45	387.41	426.97	149.92	418.71	
174.06	116.27	410.36	129.38	385.87	425.59	148.36	414.91	
174.23	114.23	410.44	128.50	384.68	424.62	147.24	412.79	
174.79	114.56	410.83	131.09	382.20	426.99	144.97	412.94	
176.15	114.35	411.91	134.02	379.17	429.69	142.29	412.23	
178.38	113.67	413.85	137.86	375.68	433.24	139.13	411.44	
179.14	114.98	414.19	142.78	371.43	437.89	135.50	412.27	
185.42	109.52	419.65	143.82	369.11	437.44	133.84	405.50	
188.65	98.46	421.85	138.34	364.97	429.88	129.73	392.34	
189.58	96.83	422.28	139.01	362.89	430.04	127.88	390.35	
190.69	96.48	423.35	139.26	363.34	430.22	128.33	389.96	
191.93	96.56	424.27	141.68	361.64	432.32	126.96	389.77	
195.54	97.62	427.09	145.83	360.68	435.34	126.61	389.72	
198.74	93.49	429.67	144.38	359.98	432.94	126.31	384.28	
201.54	91.97	431.73	145.33	359.22	432.84	126.00	381.69	
203.96	93.07	433.50	148.64	358.65	435.63	126.06	382.44	
208.55	93.38	437.05	152.62	357.97	438.38	126.25	381.56	
209.30	92.28	436.93	154.72	354.23	439.52	123.27	379.61	
210.18	91.73	437.36	155.74	352.71	439.70	122.19	378.09	
212.77	87.02	439.01	153.50	351.47	436.38	121.61	372.24	
212.38	86.74	438.21	154.33	349.43	436.77	120.02	371.43	
214.50	83.47	439.46	153.66	347.33	434.92	118.72	366.84	
215.36	82.99	439.92	154.84	345.75	435.52	117.51	365.83	
217.37	80.88	440.88	155.70	343.07	434.97	115.86	362.22	
220.39	77.35	442.83	155.02	341.69	432.70	115.35	356.85	
224.10	75.68	445.49	156.08	340.99	432.60	115.61	354.00	
226.57	74.81	447.02	157.42	339.85	432.81	115.33	352.00	
231.62	76.94	450.11	164.12	337.49	437.98	115.17	352.83	
233.28	78.05	451.45	165.95	338.02	439.45	116.00	353.57	
236.28	74.66	453.32	164.82	337.66	436.61	116.41	348.30	
239.02	73.00	454.73	165.82	335.96	436.17	115.93	345.24	
240.51	70.96	455.73	164.70	335.91	434.38	116.31	342.49	
